hostname,modulename,modulepath
EC0003XSC,WDFLDR.SYS,C:\Windows\system32\drivers\
EC0003XSC,serial.sys,C:\Windows\system32\drivers\
EC0003XSC,ACPI.sys,C:\Windows\system32\drivers\
EC0003XSC,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,TDI.SYS,C:\Windows\system32\DRIVERS\
EC0003XSC,intelppm.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,ks.sys,C:\Windows\system32\drivers\
EC0003XSC,tssecsrv.sys,C:\Windows\System32\DRIVERS\
EC0003XSC,wanarp.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,Npfs.SYS,C:\Windows\System32\Drivers\
EC0003XSC,pacer.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,afd.sys,C:\Windows\system32\drivers\
EC0003XSC,amdxata.sys,C:\Windows\system32\drivers\
EC0003XSC,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EC0003XSC,pcw.sys,C:\Windows\System32\drivers\
EC0003XSC,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,mup.sys,C:\Windows\System32\Drivers\
EC0003XSC,pvpanic.sys,C:\Windows\system32\drivers\
EC0003XSC,rasl2tp.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,vioscsi.sys,C:\Windows\system32\drivers\
EC0003XSC,nsiproxy.sys,C:\Windows\system32\drivers\
EC0003XSC,vga.sys,C:\Windows\System32\drivers\
EC0003XSC,hal.dll,C:\Windows\system32\
EC0003XSC,spldr.sys,C:\Windows\System32\Drivers\
EC0003XSC,AgileVpn.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,Msfs.SYS,C:\Windows\System32\Drivers\
EC0003XSC,fwpkclnt.sys,C:\Windows\System32\drivers\
EC0003XSC,srvnet.sys,C:\Windows\System32\DRIVERS\
EC0003XSC,ndiswan.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,fltmgr.sys,C:\Windows\system32\drivers\
EC0003XSC,NDProxy.SYS,C:\Windows\System32\Drivers\
EC0003XSC,netkvm.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,ksecpkg.sys,C:\Windows\System32\Drivers\
EC0003XSC,tdtcp.sys,C:\Windows\system32\drivers\
EC0003XSC,lltdio.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,i8042prt.sys,C:\Windows\system32\drivers\
EC0003XSC,tdx.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,win32k.sys,C:\Windows\System32\
EC0003XSC,raspptp.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,NETIO.SYS,C:\Windows\system32\DRIVERS\
EC0003XSC,srv2.sys,C:\Windows\System32\DRIVERS\
EC0003XSC,rdbss.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,peauth.sys,C:\Windows\system32\drivers\
EC0003XSC,ndistapi.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,vdrvroot.sys,C:\Windows\system32\drivers\
EC0003XSC,CompositeBus.sys,C:\Windows\system32\drivers\
EC0003XSC,CLASSPNP.SYS,C:\Windows\system32\drivers\
EC0003XSC,mountmgr.sys,C:\Windows\System32\drivers\
EC0003XSC,pci.sys,C:\Windows\system32\drivers\
EC0003XSC,rassstp.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,dfsc.sys,C:\Windows\System32\Drivers\
EC0003XSC,PSHED.dll,C:\Windows\system32\
EC0003XSC,cng.sys,C:\Windows\System32\Drivers\
EC0003XSC,storport.sys,C:\Windows\system32\drivers\
EC0003XSC,partmgr.sys,C:\Windows\System32\drivers\
EC0003XSC,RDPDD.dll,C:\Windows\System32\
EC0003XSC,swenum.sys,C:\Windows\system32\drivers\
EC0003XSC,Dxapi.sys,C:\Windows\System32\drivers\
EC0003XSC,mssmbios.sys,C:\Windows\system32\drivers\
EC0003XSC,rdpencdd.sys,C:\Windows\system32\drivers\
EC0003XSC,RDPCDD.sys,C:\Windows\System32\DRIVERS\
EC0003XSC,spsys.sys,C:\Windows\system32\drivers\
EC0003XSC,mouclass.sys,C:\Windows\system32\drivers\
EC0003XSC,dump_storport.sys,C:\Windows\System32\Drivers\
EC0003XSC,discache.sys,C:\Windows\System32\drivers\
EC0003XSC,dxg.sys,C:\Windows\System32\drivers\
EC0003XSC,srv.sys,C:\Windows\System32\DRIVERS\
EC0003XSC,rspndr.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,tunnel.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,Null.SYS,C:\Windows\System32\Drivers\
EC0003XSC,volmgrx.sys,C:\Windows\System32\drivers\
EC0003XSC,rdpdr.sys,C:\Windows\System32\drivers\
EC0003XSC,netbt.sys,C:\Windows\System32\DRIVERS\
EC0003XSC,Ntfs.sys,C:\Windows\System32\Drivers\
EC0003XSC,luafv.sys,C:\Windows\system32\drivers\
EC0003XSC,volsnap.sys,C:\Windows\system32\drivers\
EC0003XSC,RDPWD.SYS,C:\Windows\System32\Drivers\
EC0003XSC,kdcom.dll,C:\Windows\system32\
EC0003XSC,volmgr.sys,C:\Windows\system32\drivers\
EC0003XSC,TSDDD.dll,C:\Windows\System32\
EC0003XSC,hwpolicy.sys,C:\Windows\System32\drivers\
EC0003XSC,serenum.sys,C:\Windows\system32\drivers\
EC0003XSC,ntoskrnl.exe,C:\Windows\system32\
EC0003XSC,blbdrive.sys,C:\Windows\system32\drivers\
EC0003XSC,termdd.sys,C:\Windows\system32\drivers\
EC0003XSC,umbus.sys,C:\Windows\system32\drivers\
EC0003XSC,wfplwf.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,msrpc.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,VIDEOPRT.SYS,C:\Windows\System32\drivers\
EC0003XSC,asyncmac.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,netbios.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,dump_vioscsi.sys,C:\Windows\System32\Drivers\
EC0003XSC,HTTP.sys,C:\Windows\system32\drivers\
EC0003XSC,watchdog.sys,C:\Windows\System32\drivers\
EC0003XSC,CI.dll,C:\Windows\system32\
EC0003XSC,vmstorfl.sys,C:\Windows\system32\drivers\
EC0003XSC,mpsdrv.sys,C:\Windows\System32\drivers\
EC0003XSC,rdprefmp.sys,C:\Windows\system32\drivers\
EC0003XSC,rdpbus.sys,C:\Windows\system32\drivers\
EC0003XSC,ksecdd.sys,C:\Windows\System32\Drivers\
EC0003XSC,crashdmp.sys,C:\Windows\System32\Drivers\
EC0003XSC,CLFS.SYS,C:\Windows\system32\
EC0003XSC,sacdrv.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,bowser.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,tcpipreg.sys,C:\Windows\System32\drivers\
EC0003XSC,tcpip.sys,C:\Windows\System32\drivers\
EC0003XSC,NDIS.SYS,C:\Windows\system32\DRIVERS\
EC0003XSC,WMILIB.SYS,C:\Windows\system32\drivers\
EC0003XSC,Wdf01000.sys,C:\Windows\system32\drivers\
EC0003XSC,raspppoe.sys,C:\Windows\system32\DRIVERS\
EC0003XSC,kbdclass.sys,C:\Windows\system32\drivers\
EC0003XSC,disk.sys,C:\Windows\system32\drivers\
EC0003XSC,Fs_Rec.sys,C:\Windows\System32\Drivers\
