drive,fileextension,filename,filepath,fullpath,hostname,username
c,dll,DDORes.dll,Windows\SysWOW64,c:\Windows\SysWOW64\DDORes.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,SMTPCons.dll,Windows\System32\wbem,c:\Windows\System32\wbem\SMTPCons.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,ImSCCore.dll,Windows\System32\IME\IMESC5,c:\Windows\System32\IME\IMESC5\ImSCCore.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,odbcconf.dll,Windows\System32,c:\Windows\System32\odbcconf.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,netbios.sys,Windows\System32\drivers,c:\Windows\System32\drivers\netbios.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,cmdide.sys,Windows\System32\drivers,c:\Windows\System32\drivers\cmdide.sys,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,usbmon.dll,Windows\System32,C:\Windows\System32\usbmon.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dnsrslvr.dll,Windows\System32,c:\Windows\System32\dnsrslvr.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,winhttp.dll,Windows\System32,c:\Windows\System32\winhttp.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,powercpl.dll,Windows\System32,c:\Windows\System32\powercpl.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,tdpipe.sys,Windows\System32\drivers,c:\Windows\System32\drivers\tdpipe.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,acm,msg711.acm,Windows\SysWOW64,c:\Windows\SysWOW64\msg711.acm,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,mydocs.dll,Windows\System32,c:\Windows\System32\mydocs.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,exe,snmptrap.exe,Windows\System32,c:\Windows\System32\snmptrap.exe,EC0003XSC,NT AUTHORITY\SYSTEM
