arguments,description,descriptivename,hostname,name,path,pathcertificateissuer,pathcertificatesubject,pathmd5sum,pathsignaturedescription,pathsignatureverified,pid
system32\DRIVERS\b57nd60a.sys,,Broadcom NetXtreme Gigabit Ethernet - NDIS 6.0,EC0003XSC,b57nd60a,C:\Windows\System32\drivers\b57nd60a.sys,Microsoft Windows Verification PCA,Microsoft Windows,a2d2c7c2d317a7c8c16263e6f23b357c,The file is signed and the signature was verified.,true,0
system32\DRIVERS\umbus.sys,,UMBus Enumerator Driver,EC0003XSC,umbus,C:\Windows\System32\drivers\umbus.sys,Microsoft Windows Verification PCA,Microsoft Windows,4a04589fca09b07028d15d5301803ae3,The file is signed and the signature was verified.,true,0
System32\DRIVERS\srv2.sys,Enables connectivity from Windows Vista and later clients,Server SMB 2.xxx Driver,EC0003XSC,srv2,C:\Windows\System32\drivers\srv2.sys,Microsoft Windows Verification PCA,Microsoft Windows,84ef95872ea649e05271c2747e6812e5,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\MTConfig.sys,,Microsoft Input Configuration Driver,EC0003XSC,MTConfig,C:\Windows\System32\drivers\MTConfig.sys,Microsoft Windows Verification PCA,Microsoft Windows,a502af269e16cde87f036a5f3caf90dd,The file is signed and the signature was verified.,true,0
System32\drivers\ipnat.sys,,IP Network Address Translator,EC0003XSC,IPNAT,C:\Windows\System32\drivers\ipnat.sys,Microsoft Windows Verification PCA,Microsoft Windows,1e35f31171412e66dcee14a6e5618ad2,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k DcomLaunch,The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled  programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.,DCOM Server Process Launcher,EC0003XSC,DcomLaunch,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,560
C:\Windows\system32\svchost.exe -k LocalService,Maintains date and time synchronization on all clients and servers in the network. If this service is stopped  date and time synchronization will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Windows Time,EC0003XSC,w32time,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,828
System32\DRIVERS\srvnet.sys,,srvnet,EC0003XSC,srvnet,C:\Windows\System32\drivers\srvnet.sys,Microsoft Windows Verification PCA,Microsoft Windows,7e5893156b7f5177fdfcdf9a70199861,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\Drivers\ksecpkg.sys,,KSecPkg,EC0003XSC,KSecPkg,C:\Windows\System32\drivers\ksecpkg.sys,Microsoft Windows Verification PCA,Microsoft Windows,10d80ec9d9861c8f7ce8d32657ce7e98,The file is signed and the signature was verified.,true,0
C:\Windows\system32\sppsvc.exe,Enables the download  installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled  the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service.,Software Protection,EC0003XSC,sppsvc,C:\Windows\System32\sppsvc.exe,Microsoft Windows Verification PCA,Microsoft Windows,82b20d793d8ea024e5b68d418bd20797,The file is signed and the signature was verified.,true,0
system32\drivers\wimmount.sys,WIM Image mount service driver,WIMMount,EC0003XSC,WIMMount,C:\Windows\System32\drivers\wimmount.sys,Microsoft Windows Verification PCA,Microsoft Windows,a38986aa70691b7293539324610ca96a,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Enforces group policy for removable mass-storage devices. Enables applications such as Windows Media Player and Image Import Wizard to transfer and synchronize content using removable mass-storage devices.,Portable Device Enumerator Service,EC0003XSC,WPDBusEnum,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\usbhub.sys,,Microsoft USB Standard Hub Driver,EC0003XSC,usbhub,C:\Windows\System32\drivers\usbhub.sys,Microsoft Windows Verification PCA,Microsoft Windows,43f14eb8cc1235b6ccc8bca4d6accea1,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k LocalService,Identifies the networks to which the computer has connected  collects and stores properties for these networks  and notifies applications when these properties change.,Network List Service,EC0003XSC,netprofm,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,828
C:\Windows\System32\vds.exe,Provides management services for disks  volumes  file systems  and storage arrays.,Virtual Disk,EC0003XSC,vds,C:\Windows\System32\vds.exe,Microsoft Windows Verification PCA,Microsoft Windows,9497f7ce5732dce91aa5c04067a40785,The file is signed and the signature was verified.,true,0
