arguments,hostname,name,path,pid,username
"""C:\Windows\system32\Dwm.exe""",EC0003XSC,Dwm.exe,C:\Windows\system32,2028,NT AUTHORITY\SYSTEM
%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,EC0003XSC,csrss.exe,C:\Windows\system32,404,NT AUTHORITY\SYSTEM
"""taskhost.exe""",EC0003XSC,taskhost.exe,C:\Windows\system32,2480,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k RPCSS,EC0003XSC,svchost.exe,C:\Windows\system32,4472,NT AUTHORITY\SYSTEM
wininit.exe,EC0003XSC,wininit.exe,C:\Windows\system32,4636,NT AUTHORITY\SYSTEM
"""C:\Program Files\AVAST Software\Avast\AvastUI.exe"" /welcome",EC0003XSC,AvastUI.exe,C:\Program Files\AVAST Software\Avast,1035,a.adiaz
"C:\WINDOWS\system32\cmd.exe /c """"C:\Ruby24-x64\bin\irb.cmd"" """,EC0003XSC,cmd.exe,C:\WINDOWS\system32,2362,victoria.bell
,EC0003XSC,AvastSvc.exe,,556,a.adiaz
C:\Windows\system32\dllhost.exe /Processid:{3EAE8C5E-B51F-4CBD-9DCE-FA6AA0BDF8B8},EC0003XSC,dllhost.exe,C:\Windows\system32,4536,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,EC0003XSC,svchost.exe,C:\Windows\System32,1284,NT AUTHORITY\SYSTEM
\SystemRoot\System32\smss.exe,EC0003XSC,smss.exe,\SystemRoot\System32,1872,NT AUTHORITY\SYSTEM
C:\Windows\system32\lsm.exe,EC0003XSC,lsm.exe,C:\Windows\system32,4004,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,EC0003XSC,svchost.exe,C:\Windows\System32,3272,NT AUTHORITY\SYSTEM
C:\Windows\System32\msdtc.exe,EC0003XSC,msdtc.exe,C:\Windows\System32,536,NT AUTHORITY\SYSTEM
C:\Windows\system32\lsass.exe,EC0003XSC,lsass.exe,C:\Windows\system32,4088,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\TeamViewer\TeamViewer.exe"" ",EC0003XSC,TeamViewer.exe,C:\Program Files (x86)\TeamViewer,2360,pheo.cam
C:\Windows\system32\services.exe,EC0003XSC,services.exe,C:\Windows\system32,5832,NT AUTHORITY\SYSTEM
"\??\C:\Windows\system32\conhost.exe ""-29887463320281528418771495882049435123649789771-108284301750553232-1762948263",EC0003XSC,conhost.exe,C:\Windows\system32,628,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,EC0003XSC,svchost.exe,C:\Windows\system32,184,NT AUTHORITY\SYSTEM
"""C:\Users\gracie.hug30\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",EC0003XSC,OneDrive.exe,C:\Users\gracie.hug30\AppData\Local\Microsoft\OneDrive,3351,gracie.hug30
C:\Windows\System32\svchost.exe -k termsvcs,EC0003XSC,svchost.exe,C:\Windows\System32,2892,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k DcomLaunch,EC0003XSC,svchost.exe,C:\Windows\system32,2676,NT AUTHORITY\SYSTEM
