arguments,description,descriptivename,hostname,md5,name,path,pathcertificateissuer,pathcertificatesubject,pathsignaturedescription,pathsignatureexists,pathsignatureverified,servicedll,type
\SystemRoot\system32\drivers\hidusb.sys,,Microsoft HID Class Driver,EC0003XSC,d4c27cc5c2cb661a188d69d8e9d84464,HidUsb,C:\Windows\System32\drivers\hidusb.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Enables a user to configure and schedule automated tasks on this computer. The service also hosts multiple Windows system-critical tasks. If this service is stopped or disabled  these tasks will not be run at their scheduled times. If this service is disabled  any services that explicitly depend on it will fail to start.,Task Scheduler,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,Schedule,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\schedsvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.,Application Identity,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,AppIDSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\appidsvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\svchost.exe -k netsvcs,Manages dial-up and virtual private network (VPN) connections from this computer to the Internet or other remote networks. If this service is disabled  any services that explicitly depend on it will fail to start.,Remote Access Connection Manager,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,RasMan,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\rasmans.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\vms3cap.sys,,s3cap,EC0003XSC,91ba14593708e7e44f139e514d62c564,s3cap,C:\Windows\System32\drivers\vms3cap.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Supports file  print  and named-pipe sharing over the network for this computer. If this service is stopped  these functions will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Server,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,LanmanServer,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\srvsvc.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\bxvbda.sys,,Broadcom NetXtreme II VBD,EC0003XSC,28bbe42ba185378df5639971db7a565c,b06bdrv,C:\Windows\System32\drivers\bxvbda.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,Manages objects in the Network and Dial-Up Connections folder  in which you can view both local area network and remote connections.,Network Connections,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,Netman,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\netman.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\HDAudBus.sys,,Microsoft UAA Bus Driver for High Definition Audio,EC0003XSC,fb0a0d27af46040038f074791bacd12b,HDAudBus,C:\Windows\System32\drivers\hdaudbus.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\HidBatt.sys,,HID UPS Battery Driver,EC0003XSC,10a24be5b613a10cc04bda76c61d95bd,HidBatt,C:\Windows\System32\drivers\hidbatt.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
